"","match","team","tsync","DD","Tier","Win Lose"
"1","602341542","radiant",0,8.620685923,"Pro","Win"
"2","602341542","radiant",1,7.77855811,"Pro","Win"
"3","602341542","radiant",2,7.432908078,"Pro","Win"
"4","602341542","radiant",3,8.567667563,"Pro","Win"
"5","602341542","radiant",4,6.989062226,"Pro","Win"
"6","602341542","radiant",5,6.8430994,"Pro","Win"
"7","602341542","radiant",6,6.590549938,"Pro","Win"
"8","602341542","radiant",7,6.321500227,"Pro","Win"
"9","602341542","radiant",8,6.8430994,"Pro","Win"
"10","602341542","radiant",9,6.457857463,"Pro","Win"
"11","602341542","radiant",10,6.187500289,"Pro","Win"
"12","602341542","radiant",11,5.895782224,"Pro","Win"
"13","602341542","radiant",12,6.427137038,"Pro","Win"
"14","602341542","radiant",13,6.64617843,"Pro","Win"
"15","602341542","radiant",14,5.799268074,"Pro","Win"
"16","602341542","radiant",15,5.521623602,"Pro","Win"
"17","602341542","radiant",16,5.928409633,"Pro","Win"
"18","602341542","radiant",17,5.421267808,"Pro","Win"
"19","602341542","radiant",18,6.501934757,"Pro","Win"
"20","602341542","radiant",19,7.236796674,"Pro","Win"
"21","602341542","radiant",20,6.82257377,"Pro","Win"
"22","602341542","radiant",21,6.125999959,"Pro","Win"
"23","602341542","radiant",22,6.214957921,"Pro","Win"
"24","602341542","radiant",23,6.633463797,"Pro","Win"
"25","602341542","radiant",24,7.848845317,"Pro","Win"
"26","602341542","radiant",25,7.877375823,"Pro","Win"
"27","602341542","radiant",26,7.272476473,"Pro","Win"
"28","602341542","radiant",27,7.519790411,"Pro","Win"
"29","602341542","radiant",28,7.491108334,"Pro","Win"
"30","602341542","radiant",29,7.910889756,"Pro","Win"
"31","602341542","radiant",30,8.328753602,"Pro","Win"
"32","602341542","radiant",31,8.455788727,"Pro","Win"
"33","602341542","radiant",32,8.602496533,"Pro","Win"
"34","602341542","radiant",33,8.478811267,"Pro","Win"
"35","602341542","radiant",34,7.827290701,"Pro","Win"
"36","602341542","radiant",35,8.893923137,"Pro","Win"
"37","602341542","radiant",36,10.58630763,"Pro","Win"
"38","602341542","radiant",37,10.30667125,"Pro","Win"
"39","602341542","radiant",38,11.19222479,"Pro","Win"
"40","602341542","radiant",39,15.47921115,"Pro","Win"
"41","602341542","radiant",40,17.03946096,"Pro","Win"
"42","602341542","radiant",41,16.53701017,"Pro","Win"
"43","602341542","radiant",42,18.46355512,"Pro","Win"
"44","602341542","radiant",43,19.49357934,"Pro","Win"
"45","602341542","radiant",44,19.11970929,"Pro","Win"
"46","602341542","radiant",45,18.03802607,"Pro","Win"
"47","602341542","radiant",46,17.81707234,"Pro","Win"
"48","602341542","radiant",47,18.87297101,"Pro","Win"
"49","602341542","radiant",48,19.5066663,"Pro","Win"
"50","602341542","radiant",49,21.5639936,"Pro","Win"
"51","602341542","radiant",50,24.22837509,"Pro","Win"
"52","602341542","radiant",51,25.23327405,"Pro","Win"
"53","602341542","radiant",52,27.13066749,"Pro","Win"
"54","602341542","radiant",53,26.93710134,"Pro","Win"
"55","602341542","radiant",54,27.67815355,"Pro","Win"
"56","602341542","radiant",55,28.34783987,"Pro","Win"
"57","602341542","radiant",56,28.84626312,"Pro","Win"
"58","602341542","radiant",57,29.55723525,"Pro","Win"
"59","602341542","radiant",58,30.93362349,"Pro","Win"
"60","602341542","radiant",59,31.38609202,"Pro","Win"
"61","602341542","radiant",60,33.11065787,"Pro","Win"
"62","602341542","radiant",61,35.75754433,"Pro","Win"
"63","602341542","radiant",62,37.43759243,"Pro","Win"
"64","602341542","radiant",63,39.34126413,"Pro","Win"
"65","602341542","radiant",64,40.64272497,"Pro","Win"
"66","602341542","radiant",65,43.49142882,"Pro","Win"
"67","602341542","radiant",66,46.11058024,"Pro","Win"
"68","602341542","radiant",67,47.89627167,"Pro","Win"
"69","602341542","radiant",68,50.7098959,"Pro","Win"
"70","602341542","radiant",69,51.71363725,"Pro","Win"
"71","602341542","radiant",70,52.51951583,"Pro","Win"
"72","602341542","radiant",71,53.73921988,"Pro","Win"
"73","602341542","radiant",72,51.77048229,"Pro","Win"
"74","602341542","radiant",73,50.64824951,"Pro","Win"
"75","602341542","radiant",74,50.77559654,"Pro","Win"
"76","602341542","radiant",75,51.94434824,"Pro","Win"
"77","602341542","radiant",76,53.44448365,"Pro","Win"
"78","602341542","radiant",77,54.79630211,"Pro","Win"
"79","602341542","radiant",78,57.2264542,"Pro","Win"
"80","602341542","radiant",79,57.7645103,"Pro","Win"
"81","602341542","radiant",80,58.93892898,"Pro","Win"
"82","602341542","radiant",81,60.80438594,"Pro","Win"
"83","602341542","radiant",82,63.56761247,"Pro","Win"
"84","602341542","radiant",83,66.18731253,"Pro","Win"
"85","602341542","radiant",84,67.90353582,"Pro","Win"
"86","602341542","radiant",85,70.48207503,"Pro","Win"
"87","602341542","radiant",86,70.51121775,"Pro","Win"
"88","602341542","radiant",87,70.30259318,"Pro","Win"
"89","602341542","radiant",88,69.4085314,"Pro","Win"
"90","602341542","radiant",89,69.89209971,"Pro","Win"
"91","602341542","radiant",90,69.61069844,"Pro","Win"
"92","602341542","radiant",91,72.08409311,"Pro","Win"
"93","602341542","radiant",92,74.77510354,"Pro","Win"
"94","602341542","radiant",93,76.66419478,"Pro","Win"
"95","602341542","radiant",94,78.53608525,"Pro","Win"
"96","602341542","radiant",95,81.01110302,"Pro","Win"
"97","602341542","radiant",96,83.03622377,"Pro","Win"
"98","602341542","radiant",97,85.33954939,"Pro","Win"
"99","602341542","radiant",98,88.39321098,"Pro","Win"
"100","602341542","radiant",99,90.69695942,"Pro","Win"
"101","602341542","radiant",100,92.06499565,"Pro","Win"
"102","602341542","radiant",101,92.90995031,"Pro","Win"
"103","602341542","radiant",102,94.1819992,"Pro","Win"
"104","602341542","radiant",103,93.62223382,"Pro","Win"
"105","602341542","radiant",104,94.25188481,"Pro","Win"
"106","602341542","radiant",105,95.7974367,"Pro","Win"
"107","602341542","radiant",106,99.06615756,"Pro","Win"
"108","602341542","radiant",107,100.4079064,"Pro","Win"
"109","602341542","radiant",108,102.6774644,"Pro","Win"
"110","602341542","radiant",109,104.6659194,"Pro","Win"
"111","602341542","radiant",110,106.4708291,"Pro","Win"
"112","602341542","radiant",111,108.5522211,"Pro","Win"
"113","602341542","radiant",112,110.2816297,"Pro","Win"
"114","602341542","radiant",113,112.4246874,"Pro","Win"
"115","602341542","radiant",114,114.0001872,"Pro","Win"
"116","602341542","radiant",115,117.3726722,"Pro","Win"
"117","602341542","radiant",116,119.0774336,"Pro","Win"
"118","602341542","radiant",117,119.5691033,"Pro","Win"
"119","602341542","radiant",118,120.4645167,"Pro","Win"
"120","602341542","radiant",119,123.0470926,"Pro","Win"
"121","602341542","radiant",120,123.4561079,"Pro","Win"
"122","602341542","radiant",121,121.6193581,"Pro","Win"
"123","602341542","radiant",122,119.6421464,"Pro","Win"
"124","602341542","radiant",123,120.1924178,"Pro","Win"
"125","602341542","radiant",124,119.1235797,"Pro","Win"
"126","602341542","radiant",125,119.8986233,"Pro","Win"
"127","602341542","radiant",126,119.3516157,"Pro","Win"
"128","602341542","radiant",127,119.0544917,"Pro","Win"
"129","602341542","radiant",128,118.4649448,"Pro","Win"
"130","602341542","radiant",129,118.2815795,"Pro","Win"
"131","602341542","radiant",130,119.4459767,"Pro","Win"
"132","602341542","radiant",131,116.272214,"Pro","Win"
"133","602341542","radiant",132,114.5318785,"Pro","Win"
"134","602341542","radiant",133,115.0905182,"Pro","Win"
"135","602341542","radiant",134,114.51061,"Pro","Win"
"136","602341542","radiant",135,116.3194546,"Pro","Win"
"137","602341542","radiant",136,116.5235592,"Pro","Win"
"138","602341542","radiant",137,117.6078506,"Pro","Win"
"139","602341542","radiant",138,116.5436233,"Pro","Win"
"140","602341542","radiant",139,116.3736448,"Pro","Win"
"141","602341542","radiant",140,115.0564757,"Pro","Win"
"142","602341542","radiant",141,117.5705956,"Pro","Win"
"143","602341542","radiant",142,116.0491493,"Pro","Win"
"144","602341542","radiant",143,116.9201373,"Pro","Win"
"145","602341542","radiant",144,116.8557228,"Pro","Win"
"146","602341542","radiant",145,117.8830527,"Pro","Win"
"147","602341542","radiant",146,119.4126543,"Pro","Win"
"148","602341542","radiant",147,120.0294378,"Pro","Win"
"149","602341542","radiant",148,119.723354,"Pro","Win"
"150","602341542","radiant",149,120.8252053,"Pro","Win"
"151","602341542","radiant",150,121.7388373,"Pro","Win"
"152","602341542","radiant",151,121.7174432,"Pro","Win"
"153","602341542","radiant",152,121.6337364,"Pro","Win"
"154","602341542","radiant",153,120.6803287,"Pro","Win"
"155","602341542","radiant",154,121.1109921,"Pro","Win"
"156","602341542","radiant",155,119.1776879,"Pro","Win"
"157","602341542","radiant",156,119.1881224,"Pro","Win"
"158","602341542","radiant",157,119.7138843,"Pro","Win"
"159","602341542","radiant",158,120.4584335,"Pro","Win"
"160","602341542","radiant",159,120.75887,"Pro","Win"
"161","602341542","radiant",160,122.9644746,"Pro","Win"
"162","602341542","radiant",161,121.8563266,"Pro","Win"
"163","602341542","radiant",162,122.3680392,"Pro","Win"
"164","602341542","radiant",163,120.9762562,"Pro","Win"
"165","602341542","radiant",164,120.1274507,"Pro","Win"
"166","602341542","radiant",165,120.8757032,"Pro","Win"
"167","602341542","radiant",166,123.2056034,"Pro","Win"
"168","602341542","radiant",167,122.7150857,"Pro","Win"
"169","602341542","radiant",168,121.9919803,"Pro","Win"
"170","602341542","radiant",169,123.4399889,"Pro","Win"
"171","602341542","radiant",170,122.7887764,"Pro","Win"
"172","602341542","radiant",171,121.6769998,"Pro","Win"
"173","602341542","radiant",172,122.5160007,"Pro","Win"
"174","602341542","radiant",173,122.0860866,"Pro","Win"
"175","602341542","radiant",174,122.7393859,"Pro","Win"
"176","602341542","radiant",175,124.5688523,"Pro","Win"
"177","602341542","radiant",176,122.2422961,"Pro","Win"
"178","602341542","radiant",177,121.9416335,"Pro","Win"
"179","602341542","radiant",178,120.7624974,"Pro","Win"
"180","602341542","radiant",179,118.5228877,"Pro","Win"
"181","602341542","radiant",180,118.9360844,"Pro","Win"
"182","602341542","radiant",181,118.7995586,"Pro","Win"
"183","602341542","radiant",182,117.859316,"Pro","Win"
"184","602341542","radiant",183,117.1791275,"Pro","Win"
"185","602341542","radiant",184,116.6066254,"Pro","Win"
"186","602341542","radiant",185,116.3314995,"Pro","Win"
"187","602341542","radiant",186,115.1298286,"Pro","Win"
"188","602341542","radiant",187,113.5387213,"Pro","Win"
"189","602341542","radiant",188,114.8322514,"Pro","Win"
"190","602341542","radiant",189,116.6929223,"Pro","Win"
"191","602341542","radiant",190,120.0185032,"Pro","Win"
"192","602341542","radiant",191,122.11037,"Pro","Win"
"193","602341542","radiant",192,122.8730017,"Pro","Win"
"194","602341542","radiant",193,123.3308418,"Pro","Win"
"195","602341542","radiant",194,124.2982736,"Pro","Win"
"196","602341542","radiant",195,125.6520259,"Pro","Win"
"197","602341542","radiant",196,125.6237347,"Pro","Win"
"198","602341542","radiant",197,125.9373005,"Pro","Win"
"199","602341542","radiant",198,127.0525059,"Pro","Win"
"200","602341542","radiant",199,126.1520214,"Pro","Win"
"201","602341542","radiant",200,124.0344619,"Pro","Win"
"202","602341542","radiant",201,123.3731625,"Pro","Win"
"203","602341542","radiant",202,123.8663346,"Pro","Win"
"204","602341542","radiant",203,122.8803704,"Pro","Win"
"205","602341542","radiant",204,121.5893521,"Pro","Win"
"206","602341542","radiant",205,121.4268666,"Pro","Win"
"207","602341542","radiant",206,119.4229196,"Pro","Win"
"208","602341542","radiant",207,117.0714009,"Pro","Win"
"209","602341542","radiant",208,117.7246112,"Pro","Win"
"210","602341542","radiant",209,117.7186899,"Pro","Win"
"211","602341542","radiant",210,120.8765307,"Pro","Win"
"212","602341542","radiant",211,122.4467402,"Pro","Win"
"213","602341542","radiant",212,120.8612376,"Pro","Win"
"214","602341542","radiant",213,120.1098798,"Pro","Win"
"215","602341542","radiant",214,118.7556382,"Pro","Win"
"216","602341542","radiant",215,118.9324421,"Pro","Win"
"217","602341542","radiant",216,120.5714981,"Pro","Win"
"218","602341542","radiant",217,121.2455916,"Pro","Win"
"219","602341542","radiant",218,121.6570705,"Pro","Win"
"220","602341542","radiant",219,125.1684664,"Pro","Win"
"221","602341542","radiant",220,127.6417386,"Pro","Win"
"222","602341542","radiant",221,127.5551452,"Pro","Win"
"223","602341542","radiant",222,127.6927521,"Pro","Win"
"224","602341542","radiant",223,129.8617369,"Pro","Win"
"225","602341542","radiant",224,134.281116,"Pro","Win"
"226","602341542","radiant",225,137.4023346,"Pro","Win"
"227","602341542","radiant",226,137.64364,"Pro","Win"
"228","602341542","radiant",227,137.6624923,"Pro","Win"
"229","602341542","radiant",228,140.6198353,"Pro","Win"
"230","602341542","radiant",229,139.3012007,"Pro","Win"
"231","602341542","radiant",230,137.873552,"Pro","Win"
"232","602341542","radiant",231,140.700484,"Pro","Win"
"233","602341542","radiant",232,141.5103817,"Pro","Win"
"234","602341542","radiant",233,141.7747779,"Pro","Win"
"235","602341542","radiant",234,140.0435572,"Pro","Win"
"236","602341542","radiant",235,142.1662066,"Pro","Win"
"237","602341542","radiant",236,143.3907994,"Pro","Win"
"238","602341542","radiant",237,143.8979926,"Pro","Win"
"239","602341542","radiant",238,143.1285829,"Pro","Win"
"240","602341542","radiant",239,141.8007518,"Pro","Win"
"241","602341542","radiant",240,141.9161174,"Pro","Win"
"242","602341542","radiant",241,143.4662044,"Pro","Win"
"243","602341542","radiant",242,143.4998746,"Pro","Win"
"244","602341542","radiant",243,142.7755213,"Pro","Win"
"245","602341542","radiant",244,142.3241282,"Pro","Win"
"246","602341542","radiant",245,140.4724094,"Pro","Win"
"247","602341542","radiant",246,141.0671002,"Pro","Win"
"248","602341542","radiant",247,142.3863306,"Pro","Win"
"249","602341542","radiant",248,143.7483925,"Pro","Win"
"250","602341542","radiant",249,144.3354898,"Pro","Win"
"251","602341542","radiant",250,141.9369376,"Pro","Win"
"252","602341542","radiant",251,139.9968536,"Pro","Win"
"253","602341542","radiant",252,136.90979,"Pro","Win"
"254","602341542","radiant",253,135.8901688,"Pro","Win"
"255","602341542","radiant",254,135.2612484,"Pro","Win"
"256","602341542","radiant",255,134.8882805,"Pro","Win"
"257","602341542","radiant",256,136.773923,"Pro","Win"
"258","602341542","radiant",257,137.3288045,"Pro","Win"
"259","602341542","radiant",258,135.3553473,"Pro","Win"
"260","602341542","radiant",259,133.2238024,"Pro","Win"
"261","602341542","radiant",260,131.1486559,"Pro","Win"
"262","602341542","radiant",261,131.8521774,"Pro","Win"
"263","602341542","radiant",262,132.6223361,"Pro","Win"
"264","602341542","radiant",263,129.8905457,"Pro","Win"
"265","602341542","radiant",264,130.8515504,"Pro","Win"
"266","602341542","radiant",265,130.8930721,"Pro","Win"
"267","602341542","radiant",266,130.9280166,"Pro","Win"
"268","602341542","radiant",267,129.9116251,"Pro","Win"
"269","602341542","radiant",268,128.1335909,"Pro","Win"
"270","602341542","radiant",269,128.6213178,"Pro","Win"
"271","602341542","radiant",270,130.2101069,"Pro","Win"
"272","602341542","radiant",271,131.1370366,"Pro","Win"
"273","602341542","radiant",272,132.059727,"Pro","Win"
"274","602341542","radiant",273,131.8731746,"Pro","Win"
"275","602341542","radiant",274,132.4141898,"Pro","Win"
"276","602341542","radiant",275,131.9041831,"Pro","Win"
"277","602341542","radiant",276,131.1676712,"Pro","Win"
"278","602341542","radiant",277,131.5529985,"Pro","Win"
"279","602341542","radiant",278,131.0375376,"Pro","Win"
"280","602341542","radiant",279,132.3144014,"Pro","Win"
"281","602341542","radiant",280,134.5332705,"Pro","Win"
"282","602341542","radiant",281,134.0341159,"Pro","Win"
"283","602341542","radiant",282,144.4044671,"Pro","Win"
"284","602341542","radiant",283,142.1667327,"Pro","Win"
"285","602341542","radiant",284,138.8933228,"Pro","Win"
"286","602341542","radiant",285,136.9560808,"Pro","Win"
"287","602341542","radiant",286,139.3556569,"Pro","Win"
"288","602341542","radiant",287,142.3828794,"Pro","Win"
"289","602341542","radiant",288,143.2487491,"Pro","Win"
"290","602341542","radiant",289,144.3571247,"Pro","Win"
"291","602341542","radiant",290,145.4371628,"Pro","Win"
"292","602341542","radiant",291,147.4167391,"Pro","Win"
"293","602341542","radiant",292,147.291984,"Pro","Win"
"294","602341542","radiant",293,145.8145364,"Pro","Win"
"295","602341542","radiant",294,142.3993713,"Pro","Win"
"296","602341542","radiant",295,142.8920503,"Pro","Win"
"297","602341542","radiant",296,142.9493903,"Pro","Win"
"298","602341542","radiant",297,141.9103903,"Pro","Win"
"299","602341542","radiant",298,140.1189447,"Pro","Win"
"300","602341542","radiant",299,139.0677587,"Pro","Win"
"301","602341542","radiant",300,137.8137093,"Pro","Win"
"302","602341542","radiant",301,135.7318608,"Pro","Win"
"303","602341542","radiant",302,136.3919031,"Pro","Win"
"304","602341542","radiant",303,137.3979902,"Pro","Win"
"305","602341542","radiant",304,135.5148146,"Pro","Win"
"306","602341542","radiant",305,135.5567917,"Pro","Win"
"307","602341542","radiant",306,137.4762407,"Pro","Win"
"308","602341542","radiant",307,138.2442568,"Pro","Win"
"309","602341542","radiant",308,138.2656862,"Pro","Win"
"310","602341542","radiant",309,137.2087279,"Pro","Win"
"311","602341542","radiant",310,137.5197665,"Pro","Win"
"312","602341542","radiant",311,138.4818301,"Pro","Win"
"313","602341542","radiant",312,138.334955,"Pro","Win"
"314","602341542","radiant",313,140.6140518,"Pro","Win"
"315","602341542","radiant",314,140.3976871,"Pro","Win"
"316","602341542","radiant",315,142.0951859,"Pro","Win"
"317","602341542","radiant",316,141.9812432,"Pro","Win"
"318","602341542","radiant",317,142.0327768,"Pro","Win"
"319","602341542","radiant",318,143.6497523,"Pro","Win"
"320","602341542","radiant",319,142.3994406,"Pro","Win"
"321","602341542","radiant",320,143.4692931,"Pro","Win"
"322","602341542","radiant",321,143.90744,"Pro","Win"
"323","602341542","radiant",322,144.0253112,"Pro","Win"
"324","602341542","radiant",323,143.247489,"Pro","Win"
"325","602341542","radiant",324,140.3975315,"Pro","Win"
"326","602341542","radiant",325,141.5482353,"Pro","Win"
"327","602341542","radiant",326,140.6486091,"Pro","Win"
"328","602341542","radiant",327,143.8426825,"Pro","Win"
"329","602341542","radiant",328,143.2782339,"Pro","Win"
"330","602341542","radiant",329,141.3528593,"Pro","Win"
"331","602341542","radiant",330,139.8537821,"Pro","Win"
"332","602341542","radiant",331,139.5211471,"Pro","Win"
"333","602341542","radiant",332,139.615603,"Pro","Win"
"334","602341542","radiant",333,142.7442352,"Pro","Win"
"335","602341542","radiant",334,142.6992397,"Pro","Win"
"336","602341542","radiant",335,142.2064425,"Pro","Win"
"337","602341542","radiant",336,141.045695,"Pro","Win"
"338","602341542","radiant",337,138.8315363,"Pro","Win"
"339","602341542","radiant",338,138.4823126,"Pro","Win"
"340","602341542","radiant",339,137.0642828,"Pro","Win"
