"","match","team","tsync","DD","Tier","Win Lose"
"1","644790017","dire",0,28.73935303,"Pro","Win"
"2","644790017","dire",1,28.52841325,"Pro","Win"
"3","644790017","dire",2,31.55431944,"Pro","Win"
"4","644790017","dire",3,32.35037008,"Pro","Win"
"5","644790017","dire",4,35.15810152,"Pro","Win"
"6","644790017","dire",5,39.85319193,"Pro","Win"
"7","644790017","dire",6,42.19905438,"Pro","Win"
"8","644790017","dire",7,43.58573648,"Pro","Win"
"9","644790017","dire",8,46.68303155,"Pro","Win"
"10","644790017","dire",9,49.27385742,"Pro","Win"
"11","644790017","dire",10,51.3589428,"Pro","Win"
"12","644790017","dire",11,54.22953571,"Pro","Win"
"13","644790017","dire",12,57.2929839,"Pro","Win"
"14","644790017","dire",13,59.6591195,"Pro","Win"
"15","644790017","dire",14,62.88900677,"Pro","Win"
"16","644790017","dire",15,66.43771435,"Pro","Win"
"17","644790017","dire",16,69.51869607,"Pro","Win"
"18","644790017","dire",17,73.21891346,"Pro","Win"
"19","644790017","dire",18,76.72153605,"Pro","Win"
"20","644790017","dire",19,80.81859709,"Pro","Win"
"21","644790017","dire",20,84.87132171,"Pro","Win"
"22","644790017","dire",21,88.67557253,"Pro","Win"
"23","644790017","dire",22,90.95332349,"Pro","Win"
"24","644790017","dire",23,93.00773308,"Pro","Win"
"25","644790017","dire",24,93.82086957,"Pro","Win"
"26","644790017","dire",25,95.28621056,"Pro","Win"
"27","644790017","dire",26,97.91130867,"Pro","Win"
"28","644790017","dire",27,101.3479674,"Pro","Win"
"29","644790017","dire",28,103.0555068,"Pro","Win"
"30","644790017","dire",29,104.0299737,"Pro","Win"
"31","644790017","dire",30,105.2102041,"Pro","Win"
"32","644790017","dire",31,105.5636667,"Pro","Win"
"33","644790017","dire",32,106.9603769,"Pro","Win"
"34","644790017","dire",33,108.7735067,"Pro","Win"
"35","644790017","dire",34,109.3576728,"Pro","Win"
"36","644790017","dire",35,109.5282751,"Pro","Win"
"37","644790017","dire",36,108.7684226,"Pro","Win"
"38","644790017","dire",37,108.4460481,"Pro","Win"
"39","644790017","dire",38,105.74042,"Pro","Win"
"40","644790017","dire",39,105.1933494,"Pro","Win"
"41","644790017","dire",40,104.8762173,"Pro","Win"
"42","644790017","dire",41,104.9637976,"Pro","Win"
"43","644790017","dire",42,105.7449592,"Pro","Win"
"44","644790017","dire",43,104.6019443,"Pro","Win"
"45","644790017","dire",44,103.9668807,"Pro","Win"
"46","644790017","dire",45,104.4908403,"Pro","Win"
"47","644790017","dire",46,103.5015133,"Pro","Win"
"48","644790017","dire",47,103.5395747,"Pro","Win"
"49","644790017","dire",48,104.5286043,"Pro","Win"
"50","644790017","dire",49,107.0580302,"Pro","Win"
"51","644790017","dire",50,108.4136198,"Pro","Win"
"52","644790017","dire",51,107.9012646,"Pro","Win"
"53","644790017","dire",52,107.4916184,"Pro","Win"
"54","644790017","dire",53,107.051505,"Pro","Win"
"55","644790017","dire",54,106.7625663,"Pro","Win"
"56","644790017","dire",55,106.4644797,"Pro","Win"
"57","644790017","dire",56,106.9568249,"Pro","Win"
"58","644790017","dire",57,106.273396,"Pro","Win"
"59","644790017","dire",58,106.2588898,"Pro","Win"
"60","644790017","dire",59,106.8193213,"Pro","Win"
"61","644790017","dire",60,106.8309419,"Pro","Win"
"62","644790017","dire",61,106.8112711,"Pro","Win"
"63","644790017","dire",62,106.6846012,"Pro","Win"
"64","644790017","dire",63,105.5900356,"Pro","Win"
"65","644790017","dire",64,102.9414213,"Pro","Win"
"66","644790017","dire",65,102.06668,"Pro","Win"
"67","644790017","dire",66,101.4929004,"Pro","Win"
"68","644790017","dire",67,100.9109199,"Pro","Win"
"69","644790017","dire",68,98.96822138,"Pro","Win"
"70","644790017","dire",69,98.40511217,"Pro","Win"
"71","644790017","dire",70,97.17901989,"Pro","Win"
"72","644790017","dire",71,97.55312687,"Pro","Win"
"73","644790017","dire",72,98.60171587,"Pro","Win"
"74","644790017","dire",73,100.4628592,"Pro","Win"
"75","644790017","dire",74,101.3428759,"Pro","Win"
"76","644790017","dire",75,101.9043498,"Pro","Win"
"77","644790017","dire",76,102.8671853,"Pro","Win"
"78","644790017","dire",77,103.3274166,"Pro","Win"
"79","644790017","dire",78,104.6596907,"Pro","Win"
"80","644790017","dire",79,103.2422055,"Pro","Win"
"81","644790017","dire",80,102.5523597,"Pro","Win"
"82","644790017","dire",81,103.0411857,"Pro","Win"
"83","644790017","dire",82,102.4918027,"Pro","Win"
"84","644790017","dire",83,101.9559072,"Pro","Win"
"85","644790017","dire",84,101.27654,"Pro","Win"
"86","644790017","dire",85,100.7112983,"Pro","Win"
"87","644790017","dire",86,100.793024,"Pro","Win"
"88","644790017","dire",87,101.9079339,"Pro","Win"
"89","644790017","dire",88,101.0530162,"Pro","Win"
"90","644790017","dire",89,102.244936,"Pro","Win"
"91","644790017","dire",90,102.1385809,"Pro","Win"
"92","644790017","dire",91,101.6422125,"Pro","Win"
"93","644790017","dire",92,101.1357735,"Pro","Win"
"94","644790017","dire",93,100.5214933,"Pro","Win"
