"","match","team","tsync","DD","Tier","Win Lose"
"1","642864521","dire",0,116.0938665,"Normal","Win"
"2","642864521","dire",1,115.7867176,"Normal","Win"
"3","642864521","dire",2,115.5304082,"Normal","Win"
"4","642864521","dire",3,115.9074879,"Normal","Win"
"5","642864521","dire",4,115.6961837,"Normal","Win"
"6","642864521","dire",5,115.0463402,"Normal","Win"
"7","642864521","dire",6,115.0248159,"Normal","Win"
"8","642864521","dire",7,115.0524304,"Normal","Win"
"9","642864521","dire",8,115.1804165,"Normal","Win"
"10","642864521","dire",9,115.2671369,"Normal","Win"
"11","642864521","dire",10,115.2956559,"Normal","Win"
"12","642864521","dire",11,116.0360954,"Normal","Win"
"13","642864521","dire",12,115.9261339,"Normal","Win"
"14","642864521","dire",13,117.1411806,"Normal","Win"
"15","642864521","dire",14,117.7853214,"Normal","Win"
"16","642864521","dire",15,117.462383,"Normal","Win"
"17","642864521","dire",16,118.1614424,"Normal","Win"
"18","642864521","dire",17,119.3598996,"Normal","Win"
"19","642864521","dire",18,121.3439261,"Normal","Win"
"20","642864521","dire",19,122.4594046,"Normal","Win"
"21","642864521","dire",20,123.489416,"Normal","Win"
"22","642864521","dire",21,123.3868178,"Normal","Win"
"23","642864521","dire",22,124.2105637,"Normal","Win"
"24","642864521","dire",23,125.6543551,"Normal","Win"
"25","642864521","dire",24,126.0079224,"Normal","Win"
"26","642864521","dire",25,126.282836,"Normal","Win"
"27","642864521","dire",26,128.4265449,"Normal","Win"
"28","642864521","dire",27,127.3933612,"Normal","Win"
"29","642864521","dire",28,128.7722626,"Normal","Win"
"30","642864521","dire",29,130.1186879,"Normal","Win"
"31","642864521","dire",30,132.9379362,"Normal","Win"
"32","642864521","dire",31,135.4824594,"Normal","Win"
"33","642864521","dire",32,137.9982034,"Normal","Win"
"34","642864521","dire",33,138.9558964,"Normal","Win"
"35","642864521","dire",34,138.7657882,"Normal","Win"
"36","642864521","dire",35,139.5911783,"Normal","Win"
"37","642864521","dire",36,139.6931027,"Normal","Win"
"38","642864521","dire",37,139.0382037,"Normal","Win"
"39","642864521","dire",38,139.0211125,"Normal","Win"
"40","642864521","dire",39,139.3395288,"Normal","Win"
"41","642864521","dire",40,140.0506829,"Normal","Win"
"42","642864521","dire",41,139.144821,"Normal","Win"
"43","642864521","dire",42,138.8649659,"Normal","Win"
"44","642864521","dire",43,137.8887078,"Normal","Win"
"45","642864521","dire",44,137.4227694,"Normal","Win"
"46","642864521","dire",45,137.0615927,"Normal","Win"
"47","642864521","dire",46,138.1198836,"Normal","Win"
"48","642864521","dire",47,139.0334515,"Normal","Win"
"49","642864521","dire",48,138.4849847,"Normal","Win"
"50","642864521","dire",49,137.0323719,"Normal","Win"
"51","642864521","dire",50,133.6802899,"Normal","Win"
"52","642864521","dire",51,132.5783148,"Normal","Win"
"53","642864521","dire",52,132.7902039,"Normal","Win"
"54","642864521","dire",53,132.7912686,"Normal","Win"
"55","642864521","dire",54,131.6667854,"Normal","Win"
"56","642864521","dire",55,132.9205047,"Normal","Win"
"57","642864521","dire",56,136.7161164,"Normal","Win"
"58","642864521","dire",57,139.482298,"Normal","Win"
"59","642864521","dire",58,141.5069389,"Normal","Win"
"60","642864521","dire",59,142.9369733,"Normal","Win"
"61","642864521","dire",60,142.6633334,"Normal","Win"
"62","642864521","dire",61,141.0597502,"Normal","Win"
"63","642864521","dire",62,137.227848,"Normal","Win"
"64","642864521","dire",63,134.2301231,"Normal","Win"
"65","642864521","dire",64,134.2084961,"Normal","Win"
"66","642864521","dire",65,132.5110938,"Normal","Win"
"67","642864521","dire",66,132.9885414,"Normal","Win"
"68","642864521","dire",67,132.4608235,"Normal","Win"
"69","642864521","dire",68,131.6800246,"Normal","Win"
"70","642864521","dire",69,131.4415583,"Normal","Win"
"71","642864521","dire",70,130.8504156,"Normal","Win"
"72","642864521","dire",71,130.9690728,"Normal","Win"
"73","642864521","dire",72,131.0513377,"Normal","Win"
"74","642864521","dire",73,130.3992824,"Normal","Win"
"75","642864521","dire",74,128.7519116,"Normal","Win"
"76","642864521","dire",75,127.8048203,"Normal","Win"
"77","642864521","dire",76,126.1715073,"Normal","Win"
"78","642864521","dire",77,125.8632145,"Normal","Win"
"79","642864521","dire",78,125.7551284,"Normal","Win"
"80","642864521","dire",79,125.6361481,"Normal","Win"
"81","642864521","dire",80,125.8919576,"Normal","Win"
"82","642864521","dire",81,124.6978381,"Normal","Win"
"83","642864521","dire",82,125.4144914,"Normal","Win"
"84","642864521","dire",83,125.0678982,"Normal","Win"
"85","642864521","dire",84,123.0370319,"Normal","Win"
"86","642864521","dire",85,123.3060916,"Normal","Win"
"87","642864521","dire",86,123.6788454,"Normal","Win"
"88","642864521","dire",87,123.232919,"Normal","Win"
"89","642864521","dire",88,124.6639997,"Normal","Win"
"90","642864521","dire",89,125.3165686,"Normal","Win"
"91","642864521","dire",90,125.5585506,"Normal","Win"
"92","642864521","dire",91,127.1559293,"Normal","Win"
"93","642864521","dire",92,128.7672092,"Normal","Win"
"94","642864521","dire",93,130.7606246,"Normal","Win"
"95","642864521","dire",94,132.600277,"Normal","Win"
"96","642864521","dire",95,133.8078098,"Normal","Win"
"97","642864521","dire",96,135.8191908,"Normal","Win"
"98","642864521","dire",97,137.2323446,"Normal","Win"
"99","642864521","dire",98,139.0828966,"Normal","Win"
"100","642864521","dire",99,138.9803444,"Normal","Win"
"101","642864521","dire",100,136.8762991,"Normal","Win"
"102","642864521","dire",101,135.6509016,"Normal","Win"
"103","642864521","dire",102,134.3451101,"Normal","Win"
"104","642864521","dire",103,134.6552796,"Normal","Win"
"105","642864521","dire",104,132.0547901,"Normal","Win"
"106","642864521","dire",105,130.3309453,"Normal","Win"
"107","642864521","dire",106,130.3310484,"Normal","Win"
"108","642864521","dire",107,129.3781195,"Normal","Win"
"109","642864521","dire",108,127.2206388,"Normal","Win"
"110","642864521","dire",109,128.2213613,"Normal","Win"
"111","642864521","dire",110,128.7788443,"Normal","Win"
"112","642864521","dire",111,129.808289,"Normal","Win"
"113","642864521","dire",112,127.8201119,"Normal","Win"
"114","642864521","dire",113,128.9713912,"Normal","Win"
"115","642864521","dire",114,131.694174,"Normal","Win"
"116","642864521","dire",115,131.8923089,"Normal","Win"
"117","642864521","dire",116,131.8041882,"Normal","Win"
"118","642864521","dire",117,131.0171963,"Normal","Win"
"119","642864521","dire",118,128.9752264,"Normal","Win"
"120","642864521","dire",119,127.6820795,"Normal","Win"
"121","642864521","dire",120,127.7888127,"Normal","Win"
"122","642864521","dire",121,127.4631377,"Normal","Win"
"123","642864521","dire",122,127.564841,"Normal","Win"
"124","642864521","dire",123,129.5371572,"Normal","Win"
"125","642864521","dire",124,132.1271426,"Normal","Win"
"126","642864521","dire",125,134.5743721,"Normal","Win"
"127","642864521","dire",126,133.2799997,"Normal","Win"
"128","642864521","dire",127,131.1785672,"Normal","Win"
"129","642864521","dire",128,131.7755783,"Normal","Win"
"130","642864521","dire",129,134.9433281,"Normal","Win"
"131","642864521","dire",130,136.0742991,"Normal","Win"
"132","642864521","dire",131,137.8945364,"Normal","Win"
"133","642864521","dire",132,137.5399611,"Normal","Win"
"134","642864521","dire",133,140.6280433,"Normal","Win"
"135","642864521","dire",134,140.0997467,"Normal","Win"
"136","642864521","dire",135,140.6857264,"Normal","Win"
"137","642864521","dire",136,139.721247,"Normal","Win"
"138","642864521","dire",137,136.9537111,"Normal","Win"
"139","642864521","dire",138,136.7418583,"Normal","Win"
"140","642864521","dire",139,136.7418583,"Normal","Win"
"141","642864521","dire",140,136.7418583,"Normal","Win"
"142","642864521","dire",141,136.7418583,"Normal","Win"
"143","642864521","dire",142,136.7418583,"Normal","Win"
"144","642864521","dire",143,136.7418583,"Normal","Win"
"145","642864521","dire",144,136.7418583,"Normal","Win"
"146","642864521","dire",145,136.7418583,"Normal","Win"
"147","642864521","dire",146,136.7418583,"Normal","Win"
"148","642864521","dire",147,136.7418583,"Normal","Win"
"149","642864521","dire",148,136.7418583,"Normal","Win"
"150","642864521","dire",149,136.7418583,"Normal","Win"
"151","642864521","dire",150,136.7418583,"Normal","Win"
"152","642864521","dire",151,136.7418583,"Normal","Win"
"153","642864521","dire",152,136.7418583,"Normal","Win"
"154","642864521","dire",153,136.7418583,"Normal","Win"
"155","642864521","dire",154,136.7418583,"Normal","Win"
"156","642864521","dire",155,136.7418583,"Normal","Win"
"157","642864521","dire",156,136.7418583,"Normal","Win"
"158","642864521","dire",157,136.7418583,"Normal","Win"
"159","642864521","dire",158,136.7418583,"Normal","Win"
"160","642864521","dire",159,136.7418583,"Normal","Win"
"161","642864521","dire",160,136.7418583,"Normal","Win"
"162","642864521","dire",161,136.7418583,"Normal","Win"
"163","642864521","dire",162,136.7418583,"Normal","Win"
"164","642864521","dire",163,136.7418583,"Normal","Win"
"165","642864521","dire",164,136.7418583,"Normal","Win"
"166","642864521","dire",165,136.7418583,"Normal","Win"
"167","642864521","dire",166,136.7418583,"Normal","Win"
"168","642864521","dire",167,136.7418583,"Normal","Win"
"169","642864521","dire",168,136.7418583,"Normal","Win"
"170","642864521","dire",169,136.7418583,"Normal","Win"
"171","642864521","dire",170,136.7418583,"Normal","Win"
"172","642864521","dire",171,136.7418583,"Normal","Win"
"173","642864521","dire",172,136.7418583,"Normal","Win"
"174","642864521","dire",173,136.7418583,"Normal","Win"
"175","642864521","dire",174,136.7418583,"Normal","Win"
"176","642864521","dire",175,136.7418583,"Normal","Win"
"177","642864521","dire",176,136.7418583,"Normal","Win"
"178","642864521","dire",177,136.7418583,"Normal","Win"
"179","642864521","dire",178,136.7418583,"Normal","Win"
"180","642864521","dire",179,136.5453168,"Normal","Win"
"181","642864521","dire",180,138.1839893,"Normal","Win"
"182","642864521","dire",181,138.3097657,"Normal","Win"
"183","642864521","dire",182,137.9664683,"Normal","Win"
"184","642864521","dire",183,138.6300479,"Normal","Win"
"185","642864521","dire",184,139.5558539,"Normal","Win"
"186","642864521","dire",185,141.4115884,"Normal","Win"
"187","642864521","dire",186,144.5699395,"Normal","Win"
"188","642864521","dire",187,145.1509783,"Normal","Win"
"189","642864521","dire",188,145.7571523,"Normal","Win"
"190","642864521","dire",189,145.7571523,"Normal","Win"
"191","642864521","dire",190,145.7571523,"Normal","Win"
"192","642864521","dire",191,145.7571523,"Normal","Win"
"193","642864521","dire",192,145.7571523,"Normal","Win"
"194","642864521","dire",193,145.7571523,"Normal","Win"
"195","642864521","dire",194,145.7571523,"Normal","Win"
"196","642864521","dire",195,145.7571523,"Normal","Win"
"197","642864521","dire",196,145.7571523,"Normal","Win"
"198","642864521","dire",197,145.7571523,"Normal","Win"
"199","642864521","dire",198,145.7571523,"Normal","Win"
"200","642864521","dire",199,145.7571523,"Normal","Win"
"201","642864521","dire",200,145.7571523,"Normal","Win"
"202","642864521","dire",201,145.7571523,"Normal","Win"
"203","642864521","dire",202,145.7571523,"Normal","Win"
"204","642864521","dire",203,145.7571523,"Normal","Win"
"205","642864521","dire",204,145.7571523,"Normal","Win"
"206","642864521","dire",205,145.7571523,"Normal","Win"
"207","642864521","dire",206,145.7571523,"Normal","Win"
"208","642864521","dire",207,145.7571523,"Normal","Win"
"209","642864521","dire",208,145.7571523,"Normal","Win"
"210","642864521","dire",209,145.7571523,"Normal","Win"
"211","642864521","dire",210,145.7571523,"Normal","Win"
"212","642864521","dire",211,145.7571523,"Normal","Win"
"213","642864521","dire",212,145.7571523,"Normal","Win"
"214","642864521","dire",213,145.7571523,"Normal","Win"
"215","642864521","dire",214,145.7571523,"Normal","Win"
"216","642864521","dire",215,145.7571523,"Normal","Win"
"217","642864521","dire",216,145.7571523,"Normal","Win"
"218","642864521","dire",217,145.7571523,"Normal","Win"
"219","642864521","dire",218,145.7571523,"Normal","Win"
"220","642864521","dire",219,145.7571523,"Normal","Win"
"221","642864521","dire",220,145.7571523,"Normal","Win"
"222","642864521","dire",221,145.7571523,"Normal","Win"
"223","642864521","dire",222,145.7571523,"Normal","Win"
"224","642864521","dire",223,145.7571523,"Normal","Win"
"225","642864521","dire",224,145.7571523,"Normal","Win"
"226","642864521","dire",225,145.7571523,"Normal","Win"
"227","642864521","dire",226,145.7571523,"Normal","Win"
"228","642864521","dire",227,145.7571523,"Normal","Win"
"229","642864521","dire",228,144.8198304,"Normal","Win"
"230","642864521","dire",229,145.4100816,"Normal","Win"
"231","642864521","dire",230,146.2103032,"Normal","Win"
"232","642864521","dire",231,146.0653912,"Normal","Win"
"233","642864521","dire",232,146.7205693,"Normal","Win"
"234","642864521","dire",233,147.6286381,"Normal","Win"
"235","642864521","dire",234,148.2049155,"Normal","Win"
"236","642864521","dire",235,147.9840163,"Normal","Win"
"237","642864521","dire",236,147.9974251,"Normal","Win"
"238","642864521","dire",237,149.410276,"Normal","Win"
