"","t","x","y","match","team","player","won","tstd","tsync","tper","tier","zone"
"1",664433,16,12,"580713548","radiant","%40Foggeddota",1,867,0,0,"Pro","base1 radiant"
"2",664433,16,12,"580713548","radiant","%40Foggeddota",1,867,1,3.33285229165257e-07,"Pro","base1 radiant"
"3",665366,18,11,"580713548","radiant","%40Foggeddota",1,1800,2,6.66570458330514e-07,"Pro","base1 radiant"
"4",666300,20,11,"580713548","radiant","%40Foggeddota",1,2734,3,9.99855687495771e-07,"Pro","base1 radiant"
"5",667566,23,10,"580713548","radiant","%40Foggeddota",1,4000,4,1.33314091666103e-06,"Pro","base1 radiant"
"6",668500,25,9,"580713548","radiant","%40Foggeddota",1,4934,5,1.66642614582629e-06,"Pro","base1 radiant"
"7",669433,27,9,"580713548","radiant","%40Foggeddota",1,5867,6,1.99971137499154e-06,"Pro","base1 radiant"
"8",670300,29,8,"580713548","radiant","%40Foggeddota",1,6734,7,2.3329966041568e-06,"Pro","base1 radiant"
"9",671566,32,8,"580713548","radiant","%40Foggeddota",1,8000,8,2.66628183332206e-06,"Pro","void radiant"
"10",672433,34,9,"580713548","radiant","%40Foggeddota",1,8867,9,2.99956706248731e-06,"Pro","base1 radiant"
"11",673300,36,9,"580713548","radiant","%40Foggeddota",1,9734,10,3.33285229165257e-06,"Pro","bottomlane radiant"
"12",674166,38,9,"580713548","radiant","%40Foggeddota",1,10600,11,3.66613752081783e-06,"Pro","bottomlane radiant"
"13",675500,41,9,"580713548","radiant","%40Foggeddota",1,11934,12,3.99942274998309e-06,"Pro","bottomlane radiant"
"14",676300,43,9,"580713548","radiant","%40Foggeddota",1,12734,13,4.33270797914834e-06,"Pro","bottomlane radiant"
"15",677166,45,9,"580713548","radiant","%40Foggeddota",1,13600,14,4.6659932083136e-06,"Pro","bottomlane radiant"
"16",678433,48,9,"580713548","radiant","%40Foggeddota",1,14867,15,4.99927843747886e-06,"Pro","bottomlane radiant"
"17",679300,50,9,"580713548","radiant","%40Foggeddota",1,15734,16,5.33256366664411e-06,"Pro","bottomlane radiant"
"18",680566,53,10,"580713548","radiant","%40Foggeddota",1,17000,17,5.66584889580937e-06,"Pro","bottomlane radiant"
"19",681433,55,10,"580713548","radiant","%40Foggeddota",1,17867,18,5.99913412497463e-06,"Pro","bottomlane radiant"
"20",682300,57,10,"580713548","radiant","%40Foggeddota",1,18734,19,6.33241935413989e-06,"Pro","bottomlane radiant"
"21",683433,59,11,"580713548","radiant","%40Foggeddota",1,19867,20,6.66570458330514e-06,"Pro","bottomlane radiant"
"22",684566,62,12,"580713548","radiant","%40Foggeddota",1,21000,21,6.9989898124704e-06,"Pro","bottomlane radiant"
"23",685500,64,13,"580713548","radiant","%40Foggeddota",1,21934,22,7.33227504163566e-06,"Pro","bottomlane radiant"
"24",686566,66,14,"580713548","radiant","%40Foggeddota",1,23000,23,7.66556027080091e-06,"Pro","bottomlane radiant"
"25",687500,67,16,"580713548","radiant","%40Foggeddota",1,23934,24,7.99884549996617e-06,"Pro","bottomlane radiant"
"26",688433,69,17,"580713548","radiant","%40Foggeddota",1,24867,25,8.33213072913143e-06,"Pro","bottomlane radiant"
"27",689366,70,19,"580713548","radiant","%40Foggeddota",1,25800,26,8.66541595829669e-06,"Pro","jungle radiant"
"28",690566,72,21,"580713548","radiant","%40Foggeddota",1,27000,27,8.99870118746194e-06,"Pro","jungle radiant"
"29",691366,74,22,"580713548","radiant","%40Foggeddota",1,27800,28,9.3319864166272e-06,"Pro","jungle radiant"
"30",692500,76,24,"580713548","radiant","%40Foggeddota",1,28934,29,9.66527164579246e-06,"Pro","jungle radiant"
"31",693500,78,25,"580713548","radiant","%40Foggeddota",1,29934,30,9.99855687495772e-06,"Pro","jungle radiant"
"32",694433,80,26,"580713548","radiant","%40Foggeddota",1,30867,31,1.0331842104123e-05,"Pro","jungle radiant"
"33",695500,82,27,"580713548","radiant","%40Foggeddota",1,31934,32,1.06651273332882e-05,"Pro","jungle radiant"
"34",696300,83,28,"580713548","radiant","%40Foggeddota",1,32734,33,1.09984125624535e-05,"Pro","jungle radiant"
"35",697166,85,28,"580713548","radiant","%40Foggeddota",1,33600,34,1.13316977916187e-05,"Pro","jungle radiant"
"36",698566,88,27,"580713548","radiant","%40Foggeddota",1,35000,35,1.1664983020784e-05,"Pro","jungle radiant"
"37",699366,90,27,"580713548","radiant","%40Foggeddota",1,35800,36,1.19982682499493e-05,"Pro","jungle radiant"
"38",700233,92,28,"580713548","radiant","%40Foggeddota",1,36667,37,1.23315534791145e-05,"Pro","jungle radiant"
"39",701233,94,29,"580713548","radiant","%40Foggeddota",1,37667,38,1.26648387082798e-05,"Pro","jungle radiant"
"40",702233,96,28,"580713548","radiant","%40Foggeddota",1,38667,39,1.2998123937445e-05,"Pro","jungle radiant"
"41",703166,97,26,"580713548","radiant","%40Foggeddota",1,39600,40,1.33314091666103e-05,"Pro","jungle radiant"
"42",704300,96,28,"580713548","radiant","%40Foggeddota",1,40734,41,1.36646943957755e-05,"Pro","jungle radiant"
"43",705433,94,29,"580713548","radiant","%40Foggeddota",1,41867,42,1.39979796249408e-05,"Pro","jungle radiant"
"44",706300,92,29,"580713548","radiant","%40Foggeddota",1,42734,43,1.43312648541061e-05,"Pro","jungle radiant"
"45",707566,89,29,"580713548","radiant","%40Foggeddota",1,44000,44,1.46645500832713e-05,"Pro","jungle radiant"
