zone,value
midlane radiant,0.0362983221962
toplane dire,0.265458096282
bottomlane dire,0.106305149265
void radiant,0.00757316341519
jungle radiant,0.0486921405962
secretshop dire,1.90330388729e-05
laneshop radiant,0.000799056623291
base2 dire,0.079450524443
jungle dire,0.173686244492
pit dire,3.80660777458e-05
laneshop dire,0.000780023584418
bottomlane radiant,0.112525808387
void dire,0.0129191302729
river,0.0424094172166
toplane radiant,0.00279752570495
midlane dire,0.110248298405
