team,time,value
1,0,5
1,1,5
1,2,5
1,3,5
1,4,5
1,5,5
1,6,5
1,7,5
1,8,5
1,9,20
1,10,20
1,11,20
1,12,20
1,13,20
1,14,20
1,15,20
1,16,20
1,17,20
1,18,26
1,19,26
1,20,29
1,21,29
1,22,38
1,23,38
1,24,38
1,25,38
1,26,37
1,27,37
1,28,37
1,29,53
1,30,37
1,31,37
1,32,23
1,33,27
1,34,51
1,35,39
1,36,39
1,37,39
1,38,40
1,39,40
1,40,40
1,41,40
1,42,40
1,43,40
1,44,40
1,45,44
1,46,56
1,47,56
1,48,56
1,49,56
1,50,42
1,51,42
1,52,42
1,53,33
1,54,33
1,55,33
1,56,33
1,57,33
1,58,33
1,59,35
1,60,47
1,61,39
1,62,39
1,63,39
1,64,51
1,65,63
1,66,63
1,67,63
1,68,63
1,69,63
1,70,63
1,71,63
1,72,63
1,73,63
1,74,63
1,75,63
1,76,63
1,77,63
1,78,63
1,79,63
1,80,63
1,81,63
1,82,63
1,83,63
1,84,63
1,85,63
1,86,63
1,87,63
1,88,63
1,89,63
1,90,63
1,91,63
1,92,63
1,93,63
1,94,63
1,95,63
1,96,63
1,97,63
1,98,63
1,99,63
1,100,63
1,101,63
1,102,63
1,103,63
1,104,63
1,105,63
1,106,63
1,107,63
1,108,63
1,109,63
1,110,63
1,111,63
1,112,63
1,113,63
1,114,63
1,115,51
1,116,48
1,117,51
1,118,36
1,119,36
1,120,36
1,121,36
1,122,24
1,123,20
1,124,20
1,125,18
1,126,34
1,127,30
1,128,30
1,129,42
1,130,30
1,131,27
1,132,27
1,133,27
1,134,27
1,135,42
1,136,54
1,137,42
1,138,42
1,139,54
1,140,42
1,141,42
1,142,42
1,143,42
1,144,42
1,145,42
1,146,42
1,147,42
1,148,42
1,149,42
1,150,42
1,151,42
1,152,42
1,153,42
1,154,42
1,155,54
1,156,54
1,157,54
1,158,42
1,159,42
1,160,41
1,161,41
1,162,41
1,163,41
1,164,42
1,165,42
1,166,42
1,167,42
1,168,41
1,169,41
1,170,41
1,171,41
1,172,41
1,173,41
1,174,41
1,175,41
1,176,41
1,177,41
1,178,41
1,179,41
1,180,53
1,181,47
1,182,47
1,183,39
1,184,40
1,185,40
1,186,39
1,187,39
1,188,39
1,189,39
1,190,40
1,191,40
1,192,40
1,193,40
1,194,40
1,195,40
1,196,40
1,197,42
1,198,42
1,199,42
1,200,42
1,201,42
1,202,42
1,203,42
1,204,42
1,205,42
1,206,42
1,207,42
1,208,42
1,209,42
1,210,42
1,211,54
1,212,48
1,213,48
1,214,40
1,215,39
1,216,39
1,217,38
1,218,38
1,219,38
1,220,39
1,221,39
1,222,39
1,223,38
1,224,38
1,225,38
1,226,39
1,227,39
1,228,39
1,229,38
1,230,38
1,231,46
1,232,46
1,233,46
1,234,46
1,235,46
1,236,49
1,237,37
1,238,45
1,239,45
1,240,45
1,241,48
1,242,49
