team,time,value
1,0,5
1,1,5
1,2,5
1,3,5
1,4,5
1,5,20
1,6,20
1,7,29
1,8,29
1,9,32
1,10,32
1,11,32
1,12,38
1,13,34
1,14,34
1,15,34
1,16,34
1,17,34
1,18,36
1,19,36
1,20,36
1,21,30
1,22,30
1,23,30
1,24,35
1,25,35
1,26,49
1,27,49
1,28,44
1,29,44
1,30,44
1,31,52
1,32,40
1,33,38
1,34,38
1,35,38
1,36,38
1,37,52
1,38,36
1,39,36
1,40,50
1,41,38
1,42,44
1,43,44
1,44,52
1,45,52
1,46,46
1,47,40
1,48,25
1,49,25
1,50,25
1,51,37
1,52,25
1,53,25
1,54,29
1,55,29
1,56,29
1,57,29
1,58,29
1,59,41
1,60,18
1,61,18
1,62,18
1,63,32
1,64,20
1,65,18
1,66,18
1,67,18
1,68,18
1,69,18
1,70,18
1,71,24
1,72,24
1,73,24
1,74,29
1,75,17
1,76,17
1,77,17
1,78,17
1,79,29
1,80,23
1,81,23
1,82,32
1,83,32
1,84,32
1,85,32
1,86,47
1,87,54
1,88,54
1,89,54
1,90,54
1,91,60
1,92,48
1,93,48
1,94,48
1,95,48
1,96,54
1,97,42
1,98,42
1,99,42
1,100,42
1,101,42
1,102,42
1,103,42
1,104,42
1,105,42
1,106,42
1,107,42
1,108,48
1,109,48
1,110,48
1,111,48
1,112,47
1,113,59
1,114,53
1,115,53
1,116,53
1,117,37
1,118,37
1,119,36
1,120,44
1,121,44
1,122,39
1,123,39
1,124,39
1,125,39
1,126,40
1,127,40
1,128,54
1,129,54
1,130,54
1,131,40
1,132,40
1,133,40
1,134,39
1,135,39
1,136,39
1,137,51
1,138,37
1,139,37
1,140,38
1,141,38
1,142,37
1,143,37
1,144,36
1,145,38
1,146,38
1,147,48
1,148,40
1,149,48
1,150,48
1,151,48
1,152,48
1,153,48
1,154,39
1,155,38
1,156,38
1,157,51
1,158,45
1,159,45
1,160,45
1,161,51
1,162,47
1,163,47
1,164,47
1,165,47
1,166,39
1,167,39
1,168,37
1,169,38
1,170,39
1,171,47
1,172,47
1,173,41
1,174,43
1,175,31
1,176,53
1,177,39
1,178,39
1,179,29
1,180,29
1,181,53
1,182,52
1,183,66
1,184,54
1,185,54
1,186,42
1,187,54
1,188,30
1,189,30
1,190,42
1,191,41
1,192,41
1,193,41
1,194,41
1,195,41
1,196,41
1,197,41
1,198,43
1,199,43
1,200,49
1,201,54
1,202,59
1,203,61
1,204,40
1,205,40
1,206,40
1,207,40
1,208,38
1,209,38
1,210,35
1,211,35
1,212,35
1,213,35
1,214,35
1,215,35
1,216,35
1,217,35
1,218,36
1,219,36
1,220,36
1,221,40
1,222,28
1,223,28
1,224,40
1,225,36
1,226,36
1,227,32
1,228,32
1,229,28
1,230,28
1,231,40
1,232,40
1,233,35
1,234,35
1,235,47
1,236,42
1,237,42
1,238,48
1,239,48
1,240,36
1,241,36
1,242,36
