team,time,value
1,0,50
1,1,50
1,2,50
1,3,42
1,4,38
1,5,38
1,6,38
1,7,34
1,8,34
1,9,30
1,10,30
1,11,30
1,12,30
1,13,30
1,14,30
1,15,36
1,16,36
1,17,60
1,18,54
1,19,75
1,20,44
1,21,37
1,22,29
1,23,25
1,24,25
1,25,29
1,26,25
1,27,25
1,28,25
1,29,25
1,30,25
1,31,25
1,32,25
1,33,25
1,34,25
1,35,25
1,36,25
1,37,25
1,38,25
1,39,25
1,40,25
1,41,25
1,42,25
1,43,25
1,44,32
1,45,32
1,46,56
1,47,49
1,48,49
1,49,42
1,50,42
1,51,36
1,52,44
1,53,44
1,54,44
1,55,38
1,56,42
1,57,50
1,58,48
1,59,52
1,60,52
1,61,60
1,62,48
1,63,48
1,64,48
1,65,48
1,66,48
1,67,35
1,68,35
1,69,20
1,70,20
1,71,20
1,72,26
1,73,35
1,74,35
1,75,33
1,76,45
1,77,52
1,78,52
1,79,52
1,80,52
1,81,52
1,82,48
1,83,48
1,84,52
1,85,52
1,86,44
1,87,44
1,88,44
1,89,52
1,90,40
1,91,40
1,92,40
1,93,40
1,94,40
1,95,40
1,96,40
1,97,40
1,98,40
1,99,40
1,100,40
1,101,39
1,102,39
1,103,39
1,104,39
1,105,39
1,106,39
1,107,39
1,108,39
1,109,39
1,110,39
1,111,39
1,112,39
1,113,39
1,114,39
1,115,39
1,116,39
1,117,51
1,118,37
1,119,37
1,120,37
1,121,39
1,122,39
1,123,39
1,124,39
1,125,39
1,126,39
1,127,39
1,128,39
1,129,39
1,130,39
1,131,39
1,132,39
1,133,39
1,134,39
1,135,39
1,136,39
1,137,39
1,138,39
1,139,39
1,140,41
1,141,41
1,142,41
1,143,41
1,144,41
1,145,41
1,146,41
1,147,41
1,148,41
1,149,53
1,150,39
1,151,39
1,152,51
1,153,39
1,154,39
1,155,39
1,156,39
1,157,39
1,158,39
1,159,39
1,160,51
1,161,45
1,162,45
1,163,45
1,164,37
1,165,37
1,166,37
1,167,37
1,168,45
1,169,32
1,170,22
1,171,22
1,172,22
1,173,22
1,174,22
1,175,22
1,176,22
1,177,26
1,178,26
1,179,27
1,180,26
1,181,26
1,182,47
1,183,36
1,184,36
1,185,36
1,186,30
1,187,30
1,188,54
1,189,52
1,190,40
1,191,40
1,192,40
1,193,40
1,194,41
1,195,40
1,196,40
1,197,40
1,198,40
1,199,40
1,200,40
1,201,40
1,202,40
1,203,40
1,204,40
1,205,39
1,206,39
1,207,40
1,208,38
1,209,38
1,210,38
1,211,38
1,212,41
1,213,41
1,214,42
1,215,42
1,216,42
1,217,42
1,218,42
1,219,42
1,220,42
1,221,42
1,222,42
1,223,42
1,224,42
1,225,41
